"Gene_Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WDR54",199.944018806796,-0.670551130192479,0.222436469545498,-3.01457369631252,0.00257340683010958,0.00448035881332288
"CROT",566.238998544516,1.46116019178408,0.213233722913126,6.85238794231142,7.26272743781033e-12,2.88701390829503e-11
"ABCB4",116.567726399101,-0.81603871333071,0.377603718812557,-2.16109819017909,0.0306877553582835,0.045468214748903
"KMT2E",6796.97452577515,-0.899342964675484,0.136339413941086,-6.59635345846581,4.21393611395184e-11,1.59279745118645e-10
"RHBDD2",1176.85686014602,1.71202921862619,0.187840361537921,9.11427770160337,7.9196241087946e-20,5.37828664802296e-19
"SOX8",78.8014929935714,0.0458112198304194,0.617999761430782,0.0741282160438996,0.940908363863265,0.959641292345309
"IBTK",3064.38022657028,-0.640404193220904,0.194108732456066,-3.29920341613611,0.000969596235943673,0.00177851331571369
"ZNF195",2038.57125930009,-2.75610240537473,0.176449020483382,-15.6198226423949,5.33538336120333e-55,1.95750889536041e-53
"MYCBP2",6012.4025103601,-1.7245006116459,0.1726790321946,-9.98674007914573,1.74217094362631e-23,1.48475151496045e-22
"FBXL3",1539.99416169872,0.697137604951789,0.244934468834895,2.84622090254563,0.00442414924116048,0.00744606414525815
"ITGAL",802.829578529386,0.35024973006369,0.35411947770997,0.98907219769072,0.322627819155857,0.3892795189548
"PDK2",1161.50782100393,3.42745989365953,0.25842395200626,13.2629342870529,3.79741248604723e-40,7.82752975025246e-39
"ITGA3",3963.22286235655,1.8636176701342,0.262730525865824,7.09326662363528,1.30982754610223e-12,5.49884526478303e-12
"ZFX",1966.12462645949,-1.51500950658867,0.174972468626816,-8.65855936352999,4.77763811128178e-18,2.91958238922541e-17
"LAMP2",3074.08277734671,0.913021382261549,0.186384646954525,4.89858685884311,9.65283663254237e-07,2.47406824277097e-06
"ITGA2B",21.1091409483626,-1.22374860914516,0.569461134372526,-2.14895896362371,0.0316376530546735,0.0467589700835268
"ASB4",20.0672200524583,-5.04899080331589,0.998883987703412,-5.05463183459803,4.31221801828224e-07,1.14348686252901e-06
"GDE1",3208.13208243181,1.88614128065766,0.199758790892022,9.44209399864256,3.65402764902743e-21,2.70213211944616e-20
